order_number,product_key,customer_key,price,quantity,sales_amount,order_date,shipment_date,due_date
SO43763,104,5526,3578,1,3578,14-01-2011,21-01-2011,26-01-2011
SO43764,101,5613,3578,1,3578,14-01-2011,21-01-2011,26-01-2011
SO43765,137,11,3400,1,3400,14-01-2011,21-01-2011,26-01-2011
SO43766,104,5519,3578,1,3578,15-01-2011,22-01-2011,27-01-2011
SO43767,141,2,3375,1,3375,15-01-2011,22-01-2011,27-01-2011
SO43768,103,16650,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43769,103,10660,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43770,103,16615,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43771,121,3560,699,1,699,16-01-2011,23-01-2011,28-01-2011
SO43771,122,3560,699,1,699,16-01-2011,23-01-2011,28-01-2011
SO43772,103,5525,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43773,105,5527,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43774,104,5349,3578,1,3578,16-01-2011,23-01-2011,28-01-2011
SO43775,138,28,3400,1,3400,16-01-2011,23-01-2011,28-01-2011
SO43776,105,2261,3578,1,3578,17-01-2011,24-01-2011,29-01-2011
SO43777,102,5516,3578,1,3578,17-01-2011,24-01-2011,29-01-2011
SO43778,136,19,3400,1,3400,17-01-2011,24-01-2011,29-01-2011
SO43779,117,14253,699,1,699,17-01-2011,24-01-2011,29-01-2011
SO43779,118,14253,699,1,699,17-01-2011,24-01-2011,29-01-2011
SO43780,102,600,3578,1,3578,18-01-2011,25-01-2011,30-01-2011
SO43781,103,5496,3578,1,3578,18-01-2011,25-01-2011,30-01-2011
SO43782,103,5517,3578,1,3578,18-01-2011,25-01-2011,30-01-2011
SO43783,103,5621,3578,1,3578,18-01-2011,25-01-2011,30-01-2011
SO43784,101,16668,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43785,102,602,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43786,102,608,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43787,135,18386,3400,1,3400,19-01-2011,26-01-2011,31-01-2011
SO43788,142,240,3375,1,3375,19-01-2011,26-01-2011,31-01-2011
SO43789,142,14866,3375,1,3375,19-01-2011,26-01-2011,31-01-2011
SO43790,135,14858,3400,1,3400,19-01-2011,26-01-2011,31-01-2011
SO43791,105,5485,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43792,103,5624,3578,1,3578,19-01-2011,26-01-2011,31-01-2011
SO43793,135,1,3400,1,3400,19-01-2011,26-01-2011,31-01-2011
SO43794,138,30,3400,1,3400,19-01-2011,26-01-2011,31-01-2011
SO43795,103,16616,3578,1,3578,20-01-2011,27-01-2011,01-02-2011
SO43796,133,6957,699,1,699,20-01-2011,27-01-2011,01-02-2011
SO43796,134,6957,699,1,699,20-01-2011,27-01-2011,01-02-2011
SO43797,103,5346,3578,1,3578,20-01-2011,27-01-2011,01-02-2011
SO43798,101,5522,3578,1,3578,20-01-2011,27-01-2011,01-02-2011
SO43799,103,5637,3578,1,3578,20-01-2011,27-01-2011,01-02-2011
SO43800,102,10711,3578,1,3578,21-01-2011,28-01-2011,02-02-2011
SO43801,102,2584,3578,1,3578,21-01-2011,28-01-2011,02-02-2011
SO43802,103,594,3578,1,3578,21-01-2011,28-01-2011,02-02-2011
SO43803,105,10742,3578,1,3578,22-01-2011,29-01-2011,03-02-2011
SO43804,101,2586,3578,1,3578,22-01-2011,29-01-2011,03-02-2011
SO43805,119,3511,699,1,699,22-01-2011,29-01-2011,03-02-2011
SO43805,120,3511,699,1,699,22-01-2011,29-01-2011,03-02-2011
SO43806,103,5524,3578,1,3578,22-01-2011,29-01-2011,03-02-2011
SO43807,103,612,3578,1,3578,23-01-2011,30-01-2011,04-02-2011
SO43808,104,2260,3578,1,3578,23-01-2011,30-01-2011,04-02-2011
SO43809,101,5351,3578,1,3578,23-01-2011,30-01-2011,04-02-2011
SO43810,136,5,3400,1,3400,23-01-2011,30-01-2011,04-02-2011
SO43811,137,27,3400,1,3400,23-01-2011,30-01-2011,04-02-2011
SO43812,103,16663,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43813,141,17391,3375,1,3375,24-01-2011,31-01-2011,05-02-2011
SO43814,141,14867,3375,1,3375,24-01-2011,31-01-2011,05-02-2011
SO43815,102,5495,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43816,105,5497,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43817,101,5520,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43818,103,5529,3578,1,3578,24-01-2011,31-01-2011,05-02-2011
SO43819,137,7,3400,1,3400,24-01-2011,31-01-2011,05-02-2011
SO43820,103,16652,3578,1,3578,25-01-2011,01-02-2011,06-02-2011
SO43821,101,16664,3578,1,3578,25-01-2011,01-02-2011,06-02-2011
SO43822,104,16670,3578,1,3578,25-01-2011,01-02-2011,06-02-2011
SO43823,133,8943,699,1,699,25-01-2011,01-02-2011,06-02-2011
SO43823,134,8943,699,1,699,25-01-2011,01-02-2011,06-02-2011
SO43824,129,3559,699,1,699,25-01-2011,01-02-2011,06-02-2011
SO43824,130,3559,699,1,699,25-01-2011,01-02-2011,06-02-2011
SO43825,104,5350,3578,1,3578,25-01-2011,01-02-2011,06-02-2011
SO43826,139,9,3375,1,3375,25-01-2011,01-02-2011,06-02-2011
SO43827,129,14251,699,1,699,25-01-2011,01-02-2011,06-02-2011
SO43827,130,14251,699,1,699,25-01-2011,01-02-2011,06-02-2011
SO43828,101,16606,3578,1,3578,26-01-2011,02-02-2011,07-02-2011
SO43829,101,16612,3578,1,3578,26-01-2011,02-02-2011,07-02-2011
SO43830,102,5348,3578,1,3578,26-01-2011,02-02-2011,07-02-2011
SO43831,140,29,3375,1,3375,26-01-2011,02-02-2011,07-02-2011
SO43832,101,2585,3578,1,3578,26-01-2011,02-02-2011,07-02-2011
SO43833,101,10728,3578,1,3578,27-01-2011,03-02-2011,08-02-2011
SO43834,139,17394,3375,1,3375,27-01-2011,03-02-2011,08-02-2011
SO43835,139,8803,3375,1,3375,27-01-2011,03-02-2011,08-02-2011
SO43836,115,15621,699,1,699,27-01-2011,03-02-2011,08-02-2011
SO43836,116,15621,699,1,699,27-01-2011,03-02-2011,08-02-2011
SO43837,141,10,3375,1,3375,27-01-2011,03-02-2011,08-02-2011
SO43838,104,16642,3578,1,3578,28-01-2011,04-02-2011,09-02-2011
SO43839,102,16674,3578,1,3578,28-01-2011,04-02-2011,09-02-2011
SO43840,117,6958,699,1,699,28-01-2011,04-02-2011,09-02-2011
SO43840,118,6958,699,1,699,28-01-2011,04-02-2011,09-02-2011
SO43841,105,2407,3578,1,3578,28-01-2011,04-02-2011,09-02-2011
SO43842,103,5631,3578,1,3578,28-01-2011,04-02-2011,09-02-2011
SO43918,104,11042,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43919,105,1125,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43920,104,17067,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43921,104,5744,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43922,101,2547,3578,1,3578,29-01-2011,05-02-2011,10-02-2011
SO43923,103,17019,3578,1,3578,30-01-2011,06-02-2011,11-02-2011
SO43924,101,1133,3578,1,3578,30-01-2011,06-02-2011,11-02-2011
SO43925,105,5662,3578,1,3578,30-01-2011,06-02-2011,11-02-2011
SO43926,142,56,3375,1,3375,31-01-2011,07-02-2011,12-02-2011
SO43927,105,5663,3578,1,3578,31-01-2011,07-02-2011,12-02-2011
SO43928,104,5741,3578,1,3578,31-01-2011,07-02-2011,12-02-2011
SO43929,113,14271,699,1,699,31-01-2011,07-02-2011,12-02-2011
SO43929,114,14271,699,1,699,31-01-2011,07-02-2011,12-02-2011
SO43930,103,17039,3578,1,3578,01-02-2011,08-02-2011,13-02-2011
SO43931,104,2549,3578,1,3578,01-02-2011,08-02-2011,13-02-2011
SO43932,105,5742,3578,1,3578,01-02-2011,08-02-2011,13-02-2011
SO43933,138,32,3400,1,3400,01-02-2011,08-02-2011,13-02-2011
SO43934,137,35,3400,1,3400,01-02-2011,08-02-2011,13-02-2011
SO43935,125,9049,699,1,699,02-02-2011,09-02-2011,14-02-2011
SO43935,126,9049,699,1,699,02-02-2011,09-02-2011,14-02-2011
SO43936,102,17066,3578,1,3578,02-02-2011,09-02-2011,14-02-2011
SO43937,103,6048,3578,1,3578,02-02-2011,09-02-2011,14-02-2011
SO43938,101,5687,3578,1,3578,02-02-2011,09-02-2011,14-02-2011
SO43939,103,5660,3578,1,3578,02-02-2011,09-02-2011,14-02-2011
SO43940,127,14295,699,1,699,02-02-2011,09-02-2011,14-02-2011
SO43940,128,14295,699,1,699,02-02-2011,09-02-2011,14-02-2011
SO43941,105,2601,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43942,101,6052,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43943,129,3566,699,1,699,03-02-2011,10-02-2011,15-02-2011
SO43943,130,3566,699,1,699,03-02-2011,10-02-2011,15-02-2011
SO43944,135,55,3400,1,3400,03-02-2011,10-02-2011,15-02-2011
SO43945,101,5676,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43946,104,5688,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43947,101,5713,3578,1,3578,03-02-2011,10-02-2011,15-02-2011
SO43948,136,48,3400,1,3400,03-02-2011,10-02-2011,15-02-2011
SO43949,101,16727,3578,1,3578,04-02-2011,11-02-2011,16-02-2011
SO43950,102,17015,3578,1,3578,04-02-2011,11-02-2011,16-02-2011
SO43951,102,5697,3578,1,3578,04-02-2011,11-02-2011,16-02-2011
SO43952,103,5640,3578,1,3578,04-02-2011,11-02-2011,16-02-2011
SO43953,133,9050,699,1,699,05-02-2011,12-02-2011,17-02-2011
SO43953,134,9050,699,1,699,05-02-2011,12-02-2011,17-02-2011
SO43954,102,2603,3578,1,3578,05-02-2011,12-02-2011,17-02-2011
SO43955,105,2662,3578,1,3578,05-02-2011,12-02-2011,17-02-2011
SO43956,135,31,3400,1,3400,05-02-2011,12-02-2011,17-02-2011
SO43957,104,17069,3578,1,3578,06-02-2011,13-02-2011,18-02-2011
SO43958,103,5659,3578,1,3578,06-02-2011,13-02-2011,18-02-2011
SO43959,139,36,3375,1,3375,06-02-2011,13-02-2011,18-02-2011
SO43960,140,47,3375,1,3375,06-02-2011,13-02-2011,18-02-2011
SO43961,102,17032,3578,1,3578,07-02-2011,14-02-2011,19-02-2011
SO43962,103,17077,3578,1,3578,07-02-2011,14-02-2011,19-02-2011
SO43963,105,5686,3578,1,3578,07-02-2011,14-02-2011,19-02-2011
SO43964,103,5746,3578,1,3578,07-02-2011,14-02-2011,19-02-2011
SO43965,142,39,3375,1,3375,07-02-2011,14-02-2011,19-02-2011
SO43966,138,40,3400,1,3400,07-02-2011,14-02-2011,19-02-2011
SO43967,104,17041,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43968,104,17068,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43969,101,17072,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43970,102,5685,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43971,105,5658,3578,1,3578,08-02-2011,15-02-2011,20-02-2011
SO43972,105,10940,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43973,103,17040,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43974,103,2688,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43975,103,2541,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43976,101,17064,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43977,103,5704,3578,1,3578,09-02-2011,16-02-2011,21-02-2011
SO43978,101,17031,3578,1,3578,10-02-2011,17-02-2011,22-02-2011
SO43979,113,3577,699,1,699,10-02-2011,17-02-2011,22-02-2011
SO43979,114,3577,699,1,699,10-02-2011,17-02-2011,22-02-2011
SO43980,142,49,3375,1,3375,10-02-2011,17-02-2011,22-02-2011
SO43981,105,5665,3578,1,3578,10-02-2011,17-02-2011,22-02-2011
SO43982,133,14272,699,1,699,10-02-2011,17-02-2011,22-02-2011
SO43982,134,14272,699,1,699,10-02-2011,17-02-2011,22-02-2011
SO43983,105,17018,3578,1,3578,11-02-2011,18-02-2011,23-02-2011
SO43984,102,2546,3578,1,3578,11-02-2011,18-02-2011,23-02-2011
SO43985,104,2516,3578,1,3578,11-02-2011,18-02-2011,23-02-2011
SO43986,101,17071,3578,1,3578,11-02-2011,18-02-2011,23-02-2011
SO43987,101,17043,3578,1,3578,12-02-2011,19-02-2011,24-02-2011
SO43988,135,245,3400,1,3400,12-02-2011,19-02-2011,24-02-2011
SO43989,103,17084,3578,1,3578,12-02-2011,19-02-2011,24-02-2011
SO43990,135,14873,3400,1,3400,12-02-2011,19-02-2011,24-02-2011
SO43991,101,5661,3578,1,3578,12-02-2011,19-02-2011,24-02-2011
SO43992,102,5639,3578,1,3578,12-02-2011,19-02-2011,24-02-2011
SO43993,105,5930,3578,1,3578,14-02-2011,21-02-2011,26-02-2011
SO43994,105,16682,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO43995,103,10814,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO43996,101,16921,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO43997,101,17023,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO43998,139,34,3375,1,3375,15-02-2011,22-02-2011,27-02-2011
SO43999,102,17048,3578,1,3578,15-02-2011,22-02-2011,27-02-2011
SO44000,102,16919,3578,1,3578,16-02-2011,23-02-2011,28-02-2011
SO44001,104,17045,3578,1,3578,16-02-2011,23-02-2011,28-02-2011
SO44002,127,3573,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44002,128,3573,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44003,133,8326,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44003,134,8326,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44004,101,17062,3578,1,3578,16-02-2011,23-02-2011,28-02-2011
SO44005,125,15630,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44005,126,15630,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44006,101,5745,3578,1,3578,16-02-2011,23-02-2011,28-02-2011
SO44007,111,14556,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44007,112,14556,699,1,699,16-02-2011,23-02-2011,28-02-2011
SO44008,103,16679,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44009,105,16760,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44010,101,2681,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44011,101,2515,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44012,140,53,3375,1,3375,17-02-2011,24-02-2011,01-03-2011
SO44013,103,5929,3578,1,3578,17-02-2011,24-02-2011,01-03-2011
SO44014,104,16918,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44015,102,2694,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44016,141,248,3375,1,3375,18-02-2011,25-02-2011,02-03-2011
SO44017,101,17079,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44018,141,14877,3375,1,3375,18-02-2011,25-02-2011,02-03-2011
SO44019,101,5702,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44020,102,5932,3578,1,3578,18-02-2011,25-02-2011,02-03-2011
SO44021,139,33,3375,1,3375,18-02-2011,25-02-2011,02-03-2011
SO44022,104,11009,3578,1,3578,19-02-2011,26-02-2011,03-03-2011
SO44023,140,8831,3375,1,3375,19-02-2011,26-02-2011,03-03-2011
SO44024,105,5664,3578,1,3578,19-02-2011,26-02-2011,03-03-2011
SO44025,105,5709,3578,1,3578,19-02-2011,26-02-2011,03-03-2011
SO44026,101,6046,3578,1,3578,19-02-2011,26-02-2011,03-03-2011
SO44027,101,10922,3578,1,3578,20-02-2011,27-02-2011,04-03-2011
SO44028,103,6049,3578,1,3578,20-02-2011,27-02-2011,04-03-2011
SO44029,141,51,3375,1,3375,20-02-2011,27-02-2011,04-03-2011
SO44030,102,1132,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44031,104,2690,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44032,135,244,3400,1,3400,21-02-2011,28-02-2011,05-03-2011
SO44033,105,5694,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44034,104,5703,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44035,103,5708,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44036,101,6047,3578,1,3578,21-02-2011,28-02-2011,05-03-2011
SO44037,119,14273,699,1,699,21-02-2011,28-02-2011,05-03-2011
SO44037,120,14273,699,1,699,21-02-2011,28-02-2011,05-03-2011
SO44038,135,14869,3400,1,3400,21-02-2011,28-02-2011,05-03-2011
SO44039,133,6972,699,1,699,22-02-2011,01-03-2011,06-03-2011
SO44039,134,6972,699,1,699,22-02-2011,01-03-2011,06-03-2011
SO44040,142,58,3375,1,3375,22-02-2011,01-03-2011,06-03-2011
SO44041,104,5743,3578,1,3578,22-02-2011,01-03-2011,06-03-2011
SO44042,104,2679,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44043,102,2680,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44044,105,2691,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44045,135,17395,3400,1,3400,23-02-2011,02-03-2011,07-03-2011
SO44046,104,17065,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44047,135,14879,3400,1,3400,23-02-2011,02-03-2011,07-03-2011
SO44048,105,5714,3578,1,3578,23-02-2011,02-03-2011,07-03-2011
SO44049,105,2539,3578,1,3578,24-02-2011,03-03-2011,08-03-2011
SO44050,101,6051,3578,1,3578,24-02-2011,03-03-2011,08-03-2011
SO44051,101,2692,3578,1,3578,25-02-2011,04-03-2011,09-03-2011
SO44052,105,5638,3578,1,3578,25-02-2011,04-03-2011,09-03-2011
SO44053,129,8330,699,1,699,26-02-2011,05-03-2011,10-03-2011
SO44053,130,8330,699,1,699,26-02-2011,05-03-2011,10-03-2011
SO44054,105,2543,3578,1,3578,26-02-2011,05-03-2011,10-03-2011
SO44055,101,2544,3578,1,3578,26-02-2011,05-03-2011,10-03-2011
SO44056,105,2560,3578,1,3578,26-02-2011,05-03-2011,10-03-2011
SO44057,129,3578,699,1,699,26-02-2011,05-03-2011,10-03-2011
SO44057,130,3578,699,1,699,26-02-2011,05-03-2011,10-03-2011
SO44058,141,57,3375,1,3375,26-02-2011,05-03-2011,10-03-2011
SO44059,104,5689,3578,1,3578,26-02-2011,05-03-2011,10-03-2011
SO44060,133,14274,699,1,699,26-02-2011,05-03-2011,10-03-2011
SO44060,134,14274,699,1,699,26-02-2011,05-03-2011,10-03-2011
SO44061,101,16920,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44062,101,17042,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44063,135,241,3400,1,3400,27-02-2011,06-03-2011,11-03-2011
SO44064,101,11051,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44065,101,17063,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44066,135,14868,3400,1,3400,27-02-2011,06-03-2011,11-03-2011
SO44067,101,6050,3578,1,3578,27-02-2011,06-03-2011,11-03-2011
SO44068,104,2542,3578,1,3578,28-02-2011,07-03-2011,12-03-2011
SO44069,140,17396,3375,1,3375,28-02-2011,07-03-2011,12-03-2011
SO44070,140,8830,3375,1,3375,28-02-2011,07-03-2011,12-03-2011
SO44071,104,5692,3578,1,3578,28-02-2011,07-03-2011,12-03-2011
SO44072,102,5657,3578,1,3578,28-02-2011,07-03-2011,12-03-2011
SO44073,142,45,3375,1,3375,28-02-2011,07-03-2011,12-03-2011
SO44134,101,2822,3578,1,3578,01-03-2011,08-03-2011,13-03-2011
SO44135,101,17157,3578,1,3578,01-03-2011,08-03-2011,13-03-2011
SO44136,102,11115,3578,1,3578,01-03-2011,08-03-2011,13-03-2011
SO44137,105,6329,3578,1,3578,01-03-2011,08-03-2011,13-03-2011
SO44138,101,2766,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44139,102,2793,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44140,102,1222,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44141,104,2573,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44142,104,11059,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44143,104,17146,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44144,103,6072,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44145,101,6310,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44146,104,6311,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44147,101,6321,3578,1,3578,02-03-2011,09-03-2011,14-03-2011
SO44148,101,17173,3578,1,3578,03-03-2011,10-03-2011,15-03-2011
SO44149,103,6243,3578,1,3578,03-03-2011,10-03-2011,15-03-2011
SO44150,103,6316,3578,1,3578,03-03-2011,10-03-2011,15-03-2011
SO44151,119,14559,699,1,699,03-03-2011,10-03-2011,15-03-2011
SO44151,120,14559,699,1,699,03-03-2011,10-03-2011,15-03-2011
SO44152,137,335,3400,1,3400,04-03-2011,11-03-2011,16-03-2011
SO44153,103,17169,3578,1,3578,04-03-2011,11-03-2011,16-03-2011
SO44154,102,17182,3578,1,3578,04-03-2011,11-03-2011,16-03-2011
SO44155,104,17132,3578,1,3578,04-03-2011,11-03-2011,16-03-2011
SO44156,137,14888,3400,1,3400,04-03-2011,11-03-2011,16-03-2011
SO44157,105,6056,3578,1,3578,04-03-2011,11-03-2011,16-03-2011
SO44158,102,2568,3578,1,3578,05-03-2011,12-03-2011,17-03-2011
SO44159,102,17183,3578,1,3578,05-03-2011,12-03-2011,17-03-2011
SO44160,103,17187,3578,1,3578,05-03-2011,12-03-2011,17-03-2011
