product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,product_cost,product_line,start_date
45,254,FR-R38B-58,LL Road Frame - Black- 58,CO_RF,Components,Road Frames,Yes,170,Road,01-07-2012
46,255,FR-R38B-58,LL Road Frame - Black- 58,CO_RF,Components,Road Frames,Yes,205,Road,01-07-2013
47,256,FR-R38B-60,LL Road Frame - Black- 60,CO_RF,Components,Road Frames,Yes,176,Road,01-07-2011
48,257,FR-R38B-60,LL Road Frame - Black- 60,CO_RF,Components,Road Frames,Yes,170,Road,01-07-2012
49,258,FR-R38B-60,LL Road Frame - Black- 60,CO_RF,Components,Road Frames,Yes,205,Road,01-07-2013
50,259,FR-R38B-62,LL Road Frame - Black- 62,CO_RF,Components,Road Frames,Yes,176,Road,01-07-2011
51,260,FR-R38B-62,LL Road Frame - Black- 62,CO_RF,Components,Road Frames,Yes,170,Road,01-07-2012
52,261,FR-R38B-62,LL Road Frame - Black- 62,CO_RF,Components,Road Frames,Yes,205,Road,01-07-2013
53,262,FR-R38R-44,LL Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,181,Road,01-07-2011
54,263,FR-R38R-44,LL Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,187,Road,01-07-2012
55,264,FR-R38R-48,LL Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,181,Road,01-07-2011
56,265,FR-R38R-48,LL Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,187,Road,01-07-2012
57,266,FR-R38R-52,LL Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,181,Road,01-07-2011
58,267,FR-R38R-52,LL Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,187,Road,01-07-2012
59,268,FR-R38R-58,LL Road Frame - Red- 58,CO_RF,Components,Road Frames,Yes,181,Road,01-07-2011
60,269,FR-R38R-58,LL Road Frame - Red- 58,CO_RF,Components,Road Frames,Yes,187,Road,01-07-2012
61,270,FR-R38R-60,LL Road Frame - Red- 60,CO_RF,Components,Road Frames,Yes,181,Road,01-07-2011
62,271,FR-R38R-60,LL Road Frame - Red- 60,CO_RF,Components,Road Frames,Yes,187,Road,01-07-2012
63,272,FR-R38R-62,LL Road Frame - Red- 62,CO_RF,Components,Road Frames,Yes,181,Road,01-07-2011
64,273,FR-R38R-62,LL Road Frame - Red- 62,CO_RF,Components,Road Frames,Yes,187,Road,01-07-2012
65,274,FR-R72R-44,ML Road Frame - Red- 44,CO_RF,Components,Road Frames,Yes,352,Road,01-07-2011
66,275,FR-R72R-48,ML Road Frame - Red- 48,CO_RF,Components,Road Frames,Yes,352,Road,01-07-2011
67,276,FR-R72R-52,ML Road Frame - Red- 52,CO_RF,Components,Road Frames,Yes,352,Road,01-07-2011
68,277,FR-R72R-58,ML Road Frame - Red- 58,CO_RF,Components,Road Frames,Yes,352,Road,01-07-2011
69,278,FR-R72R-60,ML Road Frame - Red- 60,CO_RF,Components,Road Frames,Yes,352,Road,01-07-2011
70,279,FR-R38B-44,LL Road Frame - Black- 44,CO_RF,Components,Road Frames,Yes,176,Road,01-07-2011
71,280,FR-R38B-44,LL Road Frame - Black- 44,CO_RF,Components,Road Frames,Yes,170,Road,01-07-2012
72,281,FR-R38B-44,LL Road Frame - Black- 44,CO_RF,Components,Road Frames,Yes,205,Road,01-07-2013
73,282,FR-R38B-48,LL Road Frame - Black- 48,CO_RF,Components,Road Frames,Yes,176,Road,01-07-2011
74,283,FR-R38B-48,LL Road Frame - Black- 48,CO_RF,Components,Road Frames,Yes,170,Road,01-07-2012
75,284,FR-R38B-48,LL Road Frame - Black- 48,CO_RF,Components,Road Frames,Yes,205,Road,01-07-2013
76,285,FR-R38B-52,LL Road Frame - Black- 52,CO_RF,Components,Road Frames,Yes,176,Road,01-07-2011
77,286,FR-R38B-52,LL Road Frame - Black- 52,CO_RF,Components,Road Frames,Yes,170,Road,01-07-2012
78,287,FR-R38B-52,LL Road Frame - Black- 52,CO_RF,Components,Road Frames,Yes,205,Road,01-07-2013
79,288,FR-M94S-42,HL Mountain Frame - Silver- 42,CO_MF,Components,Mountain Frames,Yes,624,Mountain,01-07-2011
80,289,FR-M94S-42,HL Mountain Frame - Silver- 42,CO_MF,Components,Mountain Frames,Yes,661,Mountain,01-07-2012
81,290,FR-M94S-42,HL Mountain Frame - Silver- 42,CO_MF,Components,Mountain Frames,Yes,747,Mountain,01-07-2013
82,291,FR-M94S-44,HL Mountain Frame - Silver- 44,CO_MF,Components,Mountain Frames,Yes,707,Mountain,01-07-2011
83,292,FR-M94S-52,HL Mountain Frame - Silver- 48,CO_MF,Components,Mountain Frames,Yes,707,Mountain,01-07-2011
84,293,FR-M94S-46,HL Mountain Frame - Silver- 46,CO_MF,Components,Mountain Frames,Yes,624,Mountain,01-07-2011
85,294,FR-M94S-46,HL Mountain Frame - Silver- 46,CO_MF,Components,Mountain Frames,Yes,661,Mountain,01-07-2012
86,295,FR-M94S-46,HL Mountain Frame - Silver- 46,CO_MF,Components,Mountain Frames,Yes,747,Mountain,01-07-2013
87,296,FR-M94B-42,HL Mountain Frame - Black- 42,CO_MF,Components,Mountain Frames,Yes,617,Mountain,01-07-2011
88,297,FR-M94B-42,HL Mountain Frame - Black- 42,CO_MF,Components,Mountain Frames,Yes,654,Mountain,01-07-2012
89,298,FR-M94B-42,HL Mountain Frame - Black- 42,CO_MF,Components,Mountain Frames,Yes,739,Mountain,01-07-2013
90,299,FR-M94B-44,HL Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,Yes,699,Mountain,01-07-2011
91,300,FR-M94B-48,HL Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,Yes,699,Mountain,01-07-2011
92,301,FR-M94B-46,HL Mountain Frame - Black- 46,CO_MF,Components,Mountain Frames,Yes,617,Mountain,01-07-2011
93,302,FR-M94B-46,HL Mountain Frame - Black- 46,CO_MF,Components,Mountain Frames,Yes,654,Mountain,01-07-2012
94,303,FR-M94B-46,HL Mountain Frame - Black- 46,CO_MF,Components,Mountain Frames,Yes,739,Mountain,01-07-2013
95,304,FR-M94B-38,HL Mountain Frame - Black- 38,CO_MF,Components,Mountain Frames,Yes,617,Mountain,01-07-2011
96,305,FR-M94B-38,HL Mountain Frame - Black- 38,CO_MF,Components,Mountain Frames,Yes,654,Mountain,01-07-2012
97,306,FR-M94B-38,HL Mountain Frame - Black- 38,CO_MF,Components,Mountain Frames,Yes,739,Mountain,01-07-2013
98,307,FR-M94S-38,HL Mountain Frame - Silver- 38,CO_MF,Components,Mountain Frames,Yes,624,Mountain,01-07-2011
99,308,FR-M94S-38,HL Mountain Frame - Silver- 38,CO_MF,Components,Mountain Frames,Yes,661,Mountain,01-07-2012
100,309,FR-M94S-38,HL Mountain Frame - Silver- 38,CO_MF,Components,Mountain Frames,Yes,747,Mountain,01-07-2013
101,310,BK-R93R-62,Road-150 Red- 62,BI_RB,Bikes,Road Bikes,Yes,2171,Road,01-07-2011
102,311,BK-R93R-44,Road-150 Red- 44,BI_RB,Bikes,Road Bikes,Yes,2171,Road,01-07-2011
103,312,BK-R93R-48,Road-150 Red- 48,BI_RB,Bikes,Road Bikes,Yes,2171,Road,01-07-2011
104,313,BK-R93R-52,Road-150 Red- 52,BI_RB,Bikes,Road Bikes,Yes,2171,Road,01-07-2011
105,314,BK-R93R-56,Road-150 Red- 56,BI_RB,Bikes,Road Bikes,Yes,2171,Road,01-07-2011
106,315,BK-R68R-58,Road-450 Red- 58,BI_RB,Bikes,Road Bikes,Yes,885,Road,01-07-2011
107,316,BK-R68R-60,Road-450 Red- 60,BI_RB,Bikes,Road Bikes,Yes,885,Road,01-07-2011
108,317,BK-R68R-44,Road-450 Red- 44,BI_RB,Bikes,Road Bikes,Yes,885,Road,01-07-2011
109,318,BK-R68R-48,Road-450 Red- 48,BI_RB,Bikes,Road Bikes,Yes,885,Road,01-07-2011
110,319,BK-R68R-52,Road-450 Red- 52,BI_RB,Bikes,Road Bikes,Yes,885,Road,01-07-2011
111,320,BK-R50R-58,Road-650 Red- 58,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
112,321,BK-R50R-58,Road-650 Red- 58,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
113,322,BK-R50R-60,Road-650 Red- 60,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
114,323,BK-R50R-60,Road-650 Red- 60,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
115,324,BK-R50R-62,Road-650 Red- 62,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
116,325,BK-R50R-62,Road-650 Red- 62,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
117,326,BK-R50R-44,Road-650 Red- 44,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
118,327,BK-R50R-44,Road-650 Red- 44,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
119,328,BK-R50R-48,Road-650 Red- 48,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
120,329,BK-R50R-48,Road-650 Red- 48,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
121,330,BK-R50R-52,Road-650 Red- 52,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
122,331,BK-R50R-52,Road-650 Red- 52,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
123,332,BK-R50B-58,Road-650 Black- 58,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
124,333,BK-R50B-58,Road-650 Black- 58,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
125,334,BK-R50B-60,Road-650 Black- 60,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
126,335,BK-R50B-60,Road-650 Black- 60,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
127,336,BK-R50B-62,Road-650 Black- 62,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
128,337,BK-R50B-62,Road-650 Black- 62,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
129,338,BK-R50B-44,Road-650 Black- 44,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
130,339,BK-R50B-44,Road-650 Black- 44,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
131,340,BK-R50B-48,Road-650 Black- 48,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
132,341,BK-R50B-48,Road-650 Black- 48,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
133,342,BK-R50B-52,Road-650 Black- 52,BI_RB,Bikes,Road Bikes,Yes,413,Road,01-07-2011
134,343,BK-R50B-52,Road-650 Black- 52,BI_RB,Bikes,Road Bikes,Yes,487,Road,01-07-2012
135,344,BK-M82S-38,Mountain-100 Silver- 38,BI_MB,Bikes,Mountain Bikes,Yes,1912,Mountain,01-07-2011
136,345,BK-M82S-42,Mountain-100 Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,1912,Mountain,01-07-2011
137,346,BK-M82S-44,Mountain-100 Silver- 44,BI_MB,Bikes,Mountain Bikes,Yes,1912,Mountain,01-07-2011
138,347,BK-M82S-48,Mountain-100 Silver- 48,BI_MB,Bikes,Mountain Bikes,Yes,1912,Mountain,01-07-2011
139,348,BK-M82B-38,Mountain-100 Black- 38,BI_MB,Bikes,Mountain Bikes,Yes,1898,Mountain,01-07-2011
140,349,BK-M82B-42,Mountain-100 Black- 42,BI_MB,Bikes,Mountain Bikes,Yes,1898,Mountain,01-07-2011
141,350,BK-M82B-44,Mountain-100 Black- 44,BI_MB,Bikes,Mountain Bikes,Yes,1898,Mountain,01-07-2011
142,351,BK-M82B-48,Mountain-100 Black- 48,BI_MB,Bikes,Mountain Bikes,Yes,1898,Mountain,01-07-2011
143,352,BK-M68S-38,Mountain-200 Silver- 38,BI_MB,Bikes,Mountain Bikes,Yes,1118,Mountain,01-07-2012
144,353,BK-M68S-38,Mountain-200 Silver- 38,BI_MB,Bikes,Mountain Bikes,Yes,1266,Mountain,01-07-2013
145,354,BK-M68S-42,Mountain-200 Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,1118,Mountain,01-07-2012
146,355,BK-M68S-42,Mountain-200 Silver- 42,BI_MB,Bikes,Mountain Bikes,Yes,1266,Mountain,01-07-2013
147,356,BK-M68S-46,Mountain-200 Silver- 46,BI_MB,Bikes,Mountain Bikes,Yes,1118,Mountain,01-07-2012
148,357,BK-M68S-46,Mountain-200 Silver- 46,BI_MB,Bikes,Mountain Bikes,Yes,1266,Mountain,01-07-2013
149,358,BK-M68B-38,Mountain-200 Black- 38,BI_MB,Bikes,Mountain Bikes,Yes,1106,Mountain,01-07-2012
150,359,BK-M68B-38,Mountain-200 Black- 38,BI_MB,Bikes,Mountain Bikes,Yes,1252,Mountain,01-07-2013
151,360,BK-M68B-42,Mountain-200 Black- 42,BI_MB,Bikes,Mountain Bikes,Yes,1106,Mountain,01-07-2012
152,361,BK-M68B-42,Mountain-200 Black- 42,BI_MB,Bikes,Mountain Bikes,Yes,1252,Mountain,01-07-2013
153,362,BK-M68B-46,Mountain-200 Black- 46,BI_MB,Bikes,Mountain Bikes,Yes,1106,Mountain,01-07-2012
154,363,BK-M68B-46,Mountain-200 Black- 46,BI_MB,Bikes,Mountain Bikes,Yes,1252,Mountain,01-07-2013
155,364,BK-M47B-38,Mountain-300 Black- 38,BI_MB,Bikes,Mountain Bikes,Yes,598,Mountain,01-07-2012
156,365,BK-M47B-40,Mountain-300 Black- 40,BI_MB,Bikes,Mountain Bikes,Yes,598,Mountain,01-07-2012
157,366,BK-M47B-44,Mountain-300 Black- 44,BI_MB,Bikes,Mountain Bikes,Yes,598,Mountain,01-07-2012
158,367,BK-M47B-48,Mountain-300 Black- 48,BI_MB,Bikes,Mountain Bikes,Yes,598,Mountain,01-07-2012
159,368,BK-R89R-44,Road-250 Red- 44,BI_RB,Bikes,Road Bikes,Yes,1519,Road,01-07-2012
160,369,BK-R89R-48,Road-250 Red- 48,BI_RB,Bikes,Road Bikes,Yes,1519,Road,01-07-2012
161,370,BK-R89R-52,Road-250 Red- 52,BI_RB,Bikes,Road Bikes,Yes,1519,Road,01-07-2012
162,371,BK-R89R-58,Road-250 Red- 58,BI_RB,Bikes,Road Bikes,Yes,1321,Road,01-07-2012
163,372,BK-R89R-58,Road-250 Red- 58,BI_RB,Bikes,Road Bikes,Yes,1555,Road,01-07-2013
164,373,BK-R89B-44,Road-250 Black- 44,BI_RB,Bikes,Road Bikes,Yes,1321,Road,01-07-2012
165,374,BK-R89B-44,Road-250 Black- 44,BI_RB,Bikes,Road Bikes,Yes,1555,Road,01-07-2013
166,375,BK-R89B-48,Road-250 Black- 48,BI_RB,Bikes,Road Bikes,Yes,1321,Road,01-07-2012
167,376,BK-R89B-48,Road-250 Black- 48,BI_RB,Bikes,Road Bikes,Yes,1555,Road,01-07-2013
168,377,BK-R89B-52,Road-250 Black- 52,BI_RB,Bikes,Road Bikes,Yes,1321,Road,01-07-2012
169,378,BK-R89B-52,Road-250 Black- 52,BI_RB,Bikes,Road Bikes,Yes,1555,Road,01-07-2013
170,379,BK-R89B-58,Road-250 Black- 58,BI_RB,Bikes,Road Bikes,Yes,1321,Road,01-07-2012
171,380,BK-R89B-58,Road-250 Black- 58,BI_RB,Bikes,Road Bikes,Yes,1555,Road,01-07-2013
172,381,BK-R64Y-38,Road-550-W Yellow- 38,BI_RB,Bikes,Road Bikes,Yes,606,Road,01-07-2012
173,382,BK-R64Y-38,Road-550-W Yellow- 38,BI_RB,Bikes,Road Bikes,Yes,713,Road,01-07-2013
174,383,BK-R64Y-40,Road-550-W Yellow- 40,BI_RB,Bikes,Road Bikes,Yes,606,Road,01-07-2012
175,384,BK-R64Y-40,Road-550-W Yellow- 40,BI_RB,Bikes,Road Bikes,Yes,713,Road,01-07-2013
176,385,BK-R64Y-42,Road-550-W Yellow- 42,BI_RB,Bikes,Road Bikes,Yes,606,Road,01-07-2012
177,386,BK-R64Y-42,Road-550-W Yellow- 42,BI_RB,Bikes,Road Bikes,Yes,713,Road,01-07-2013
178,387,BK-R64Y-44,Road-550-W Yellow- 44,BI_RB,Bikes,Road Bikes,Yes,606,Road,01-07-2012
179,388,BK-R64Y-44,Road-550-W Yellow- 44,BI_RB,Bikes,Road Bikes,Yes,713,Road,01-07-2013
180,389,BK-R64Y-48,Road-550-W Yellow- 48,BI_RB,Bikes,Road Bikes,Yes,606,Road,01-07-2012
181,390,BK-R64Y-48,Road-550-W Yellow- 48,BI_RB,Bikes,Road Bikes,Yes,713,Road,01-07-2013
182,391,FK-1639,LL Fork,CO_FO,Components,Forks,Yes,66,N/A,01-07-2012
183,392,FK-5136,ML Fork,CO_FO,Components,Forks,Yes,78,N/A,01-07-2012
184,393,FK-9939,HL Fork,CO_FO,Components,Forks,Yes,102,N/A,01-07-2012
185,394,HS-0296,LL Headset,CO_HS,Components,Headsets,No,15,N/A,01-07-2012
186,395,HS-2451,ML Headset,CO_HS,Components,Headsets,No,45,N/A,01-07-2012
187,396,HS-3479,HL Headset,CO_HS,Components,Headsets,No,55,N/A,01-07-2012
188,397,HB-M243,LL Mountain Handlebars,CO_HB,Components,Handlebars,No,18,Mountain,01-07-2012
189,398,HB-M243,LL Mountain Handlebars,CO_HB,Components,Handlebars,No,20,Mountain,01-07-2013
190,399,HB-M763,ML Mountain Handlebars,CO_HB,Components,Handlebars,No,25,Mountain,01-07-2012
191,400,HB-M763,ML Mountain Handlebars,CO_HB,Components,Handlebars,No,27,Mountain,01-07-2013
192,401,HB-M918,HL Mountain Handlebars,CO_HB,Components,Handlebars,No,49,Mountain,01-07-2012
193,402,HB-M918,HL Mountain Handlebars,CO_HB,Components,Handlebars,No,53,Mountain,01-07-2013
194,403,HB-R504,LL Road Handlebars,CO_HB,Components,Handlebars,No,18,Road,01-07-2012
195,404,HB-R504,LL Road Handlebars,CO_HB,Components,Handlebars,No,20,Road,01-07-2013
196,405,HB-R720,ML Road Handlebars,CO_HB,Components,Handlebars,No,25,Road,01-07-2012
197,406,HB-R720,ML Road Handlebars,CO_HB,Components,Handlebars,No,27,Road,01-07-2013
198,407,HB-R956,HL Road Handlebars,CO_HB,Components,Handlebars,No,49,Road,01-07-2012
199,408,HB-R956,HL Road Handlebars,CO_HB,Components,Handlebars,No,53,Road,01-07-2013
200,409,FR-M63B-38,ML Mountain Frame - Black- 38,CO_MF,Components,Mountain Frames,Yes,186,Mountain,01-07-2012
201,410,FW-M423,LL Mountain Front Wheel,CO_WH,Components,Wheels,Yes,27,Mountain,01-07-2012
202,411,FW-M762,ML Mountain Front Wheel,CO_WH,Components,Wheels,Yes,93,Mountain,01-07-2012
203,412,FW-M928,HL Mountain Front Wheel,CO_WH,Components,Wheels,Yes,133,Mountain,01-07-2012
204,413,FW-R623,LL Road Front Wheel,CO_WH,Components,Wheels,Yes,38,Road,01-07-2012
205,414,FW-R762,ML Road Front Wheel,CO_WH,Components,Wheels,Yes,110,Road,01-07-2012
206,415,FW-R820,HL Road Front Wheel,CO_WH,Components,Wheels,Yes,147,Road,01-07-2012
207,416,FW-T905,Touring Front Wheel,CO_WH,Components,Wheels,Yes,97,Touring,01-07-2012
208,417,FR-R72Y-38,ML Road Frame-W - Yellow- 38,CO_RF,Components,Road Frames,Yes,300,Road,01-07-2012
209,418,FR-R72Y-38,ML Road Frame-W - Yellow- 38,CO_RF,Components,Road Frames,Yes,361,Road,01-07-2013
210,419,RW-M423,LL Mountain Rear Wheel,CO_WH,Components,Wheels,Yes,39,Mountain,01-07-2012
211,420,RW-M762,ML Mountain Rear Wheel,CO_WH,Components,Wheels,Yes,105,Mountain,01-07-2012
212,421,RW-M928,HL Mountain Rear Wheel,CO_WH,Components,Wheels,Yes,145,Mountain,01-07-2012
213,422,RW-R623,LL Road Rear Wheel,CO_WH,Components,Wheels,Yes,50,Road,01-07-2012
214,423,RW-R762,ML Road Rear Wheel,CO_WH,Components,Wheels,Yes,122,Road,01-07-2012
215,424,RW-R820,HL Road Rear Wheel,CO_WH,Components,Wheels,Yes,159,Road,01-07-2012
216,425,RW-T905,Touring Rear Wheel,CO_WH,Components,Wheels,Yes,109,Touring,01-07-2012
217,426,FR-M63B-40,ML Mountain Frame - Black- 40,CO_MF,Components,Mountain Frames,Yes,186,Mountain,01-07-2012
218,427,FR-M63B-44,ML Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,Yes,186,Mountain,01-07-2012
219,428,FR-M63B-48,ML Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,Yes,186,Mountain,01-07-2012
220,429,FR-R72Y-40,ML Road Frame-W - Yellow- 40,CO_RF,Components,Road Frames,Yes,300,Road,01-07-2012
221,430,FR-R72Y-40,ML Road Frame-W - Yellow- 40,CO_RF,Components,Road Frames,Yes,361,Road,01-07-2013
222,431,FR-R72Y-42,ML Road Frame-W - Yellow- 42,CO_RF,Components,Road Frames,Yes,300,Road,01-07-2012
223,432,FR-R72Y-42,ML Road Frame-W - Yellow- 42,CO_RF,Components,Road Frames,Yes,361,Road,01-07-2013
224,433,FR-R72Y-44,ML Road Frame-W - Yellow- 44,CO_RF,Components,Road Frames,Yes,300,Road,01-07-2012
225,434,FR-R72Y-44,ML Road Frame-W - Yellow- 44,CO_RF,Components,Road Frames,Yes,361,Road,01-07-2013
226,435,FR-R72Y-48,ML Road Frame-W - Yellow- 48,CO_RF,Components,Road Frames,Yes,300,Road,01-07-2012
227,436,FR-R72Y-48,ML Road Frame-W - Yellow- 48,CO_RF,Components,Road Frames,Yes,361,Road,01-07-2013
228,437,FR-R92B-62,HL Road Frame - Black- 62,CO_RF,Components,Road Frames,Yes,722,Road,01-07-2012
229,438,FR-R92B-62,HL Road Frame - Black- 62,CO_RF,Components,Road Frames,Yes,869,Road,01-07-2013
230,439,FR-R92B-44,HL Road Frame - Black- 44,CO_RF,Components,Road Frames,Yes,722,Road,01-07-2012
231,440,FR-R92B-44,HL Road Frame - Black- 44,CO_RF,Components,Road Frames,Yes,869,Road,01-07-2013
232,441,FR-R92B-48,HL Road Frame - Black- 48,CO_RF,Components,Road Frames,Yes,722,Road,01-07-2012
233,442,FR-R92B-48,HL Road Frame - Black- 48,CO_RF,Components,Road Frames,Yes,869,Road,01-07-2013
234,443,FR-R92B-52,HL Road Frame - Black- 52,CO_RF,Components,Road Frames,Yes,722,Road,01-07-2012
